query,scale_factor,comp_algo,comp_bytes,uncomp_bytes,io_bytes,time_ms
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 24413 32 1 gres:gpu:gpu_group1:1
# python ../dask_ssb.py --repeat=2 --encoding=uncompressed,snappy,zstd,gzip --split_row_groups=128 --scale_factor=200 --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3
#[INFO ] Result  :  84148405063199
query1.1,200,UNCOMPRESSED,0,0,0,9302.560
# read total= 17420810
#[INFO ] Result  :  18167977739771
query1.2,200,UNCOMPRESSED,0,0,0,9703.499
# read total= 17163188
#[INFO ] Result  :  4936900771232
query1.3,200,UNCOMPRESSED,0,0,0,9114.118
# read total= 17163188
#[INFO ] Results#:  280
query2.1,200,UNCOMPRESSED,0,0,0,10163.836
# read total= 17819188
#[INFO ] Results#:  56
query2.2,200,UNCOMPRESSED,0,0,0,10084.397
# read total= 17819189
#[INFO ] Results#:  7
query2.3,200,UNCOMPRESSED,0,0,0,9555.497
# read total= 17819189
#[INFO ] Results#:  150
query3.1,200,UNCOMPRESSED,0,0,0,12055.527
# read total= 17819189
#[INFO ] Results#:  600
query3.2,200,UNCOMPRESSED,0,0,0,11040.345
# read total= 17819189
#[INFO ] Results#:  24
query3.3,200,UNCOMPRESSED,0,0,0,11106.541
# read total= 17819189
#[INFO ] Results#:  4
query3.4,200,UNCOMPRESSED,0,0,0,11156.242
# read total= 17819189
#[INFO ] Results#:  35
query4.1,200,UNCOMPRESSED,0,0,0,13969.690
# read total= 18147173
#[INFO ] Results#:  100
query4.2,200,UNCOMPRESSED,0,0,0,13588.991
# read total= 18147173
#[INFO ] Results#:  800
query4.3,200,UNCOMPRESSED,0,0,0,12370.271
# read total= 18147173
#[INFO ] Result  :  84148405063199
query1.1,200,SNAPPY,0,0,0,9775.048
# read total= 16904379
#[INFO ] Result  :  18167977739771
query1.2,200,SNAPPY,0,0,0,10287.557
# read total= 16904371
#[INFO ] Result  :  4936900771232
query1.3,200,SNAPPY,0,0,0,9781.059
# read total= 16904371
#[INFO ] Results#:  280
query2.1,200,SNAPPY,0,0,0,11027.777
# read total= 17560371
#[INFO ] Results#:  56
query2.2,200,SNAPPY,0,0,0,10606.321
# read total= 17560371
#[INFO ] Results#:  7
query2.3,200,SNAPPY,0,0,0,10274.743
# read total= 17560371
#[INFO ] Results#:  150
query3.1,200,SNAPPY,0,0,0,12065.106
# read total= 17560371
#[INFO ] Results#:  600
query3.2,200,SNAPPY,0,0,0,11091.340
# read total= 17560371
#[INFO ] Results#:  24
query3.3,200,SNAPPY,0,0,0,10664.706
# read total= 17560371
#[INFO ] Results#:  4
query3.4,200,SNAPPY,0,0,0,11041.044
# read total= 17560371
#[INFO ] Results#:  35
query4.1,200,SNAPPY,0,0,0,12963.263
# read total= 17888355
#[INFO ] Results#:  100
query4.2,200,SNAPPY,0,0,0,13261.862
# read total= 17888355
#[INFO ] Results#:  800
query4.3,200,SNAPPY,0,0,0,12049.021
# read total= 17888355
#[INFO ] Result  :  84148405063199
query1.1,200,ZSTD,0,0,0,8726.277
# read total= 16681317
#[INFO ] Result  :  18167977739771
query1.2,200,ZSTD,0,0,0,8320.038
# read total= 16681317
#[INFO ] Result  :  4936900771232
query1.3,200,ZSTD,0,0,0,8988.103
# read total= 16681317
#[INFO ] Results#:  280
query2.1,200,ZSTD,0,0,0,11025.235
# read total= 17337317
#[INFO ] Results#:  56
query2.2,200,ZSTD,0,0,0,10480.785
# read total= 17337322
#[INFO ] Results#:  7
query2.3,200,ZSTD,0,0,0,10516.102
# read total= 17337322
#[INFO ] Results#:  150
query3.1,200,ZSTD,0,0,0,12036.230
# read total= 17337322
#[INFO ] Results#:  600
query3.2,200,ZSTD,0,0,0,11183.105
# read total= 17337323
#[INFO ] Results#:  24
query3.3,200,ZSTD,0,0,0,10792.900
# read total= 17337323
#[INFO ] Results#:  4
query3.4,200,ZSTD,0,0,0,10836.127
# read total= 17337323
#[INFO ] Results#:  35
query4.1,200,ZSTD,0,0,0,13908.639
# read total= 17665308
#[INFO ] Results#:  100
query4.2,200,ZSTD,0,0,0,13700.105
# read total= 17665308
#[INFO ] Results#:  800
query4.3,200,ZSTD,0,0,0,12792.969
# read total= 17665308
#[INFO ] Result  :  84148405063199
query1.1,200,GZIP,0,0,0,11512.534
# read total= 16720485
#[INFO ] Result  :  18167977739771
query1.2,200,GZIP,0,0,0,10305.846
# read total= 16720488
#[INFO ] Result  :  4936900771232
query1.3,200,GZIP,0,0,0,10426.956
# read total= 16720488
#[INFO ] Results#:  280
query2.1,200,GZIP,0,0,0,12934.898
# read total= 17376488
#[INFO ] Results#:  56
query2.2,200,GZIP,0,0,0,12771.849
# read total= 17376488
#[INFO ] Results#:  7
query2.3,200,GZIP,0,0,0,12151.708
# read total= 17376488
#[INFO ] Results#:  150
query3.1,200,GZIP,0,0,0,13111.877
# read total= 17376488
#[INFO ] Results#:  600
query3.2,200,GZIP,0,0,0,12533.106
# read total= 17376488
#[INFO ] Results#:  24
query3.3,200,GZIP,0,0,0,12443.510
# read total= 17376488
#[INFO ] Results#:  4
query3.4,200,GZIP,0,0,0,12145.370
# read total= 17376488
#[INFO ] Results#:  35
query4.1,200,GZIP,0,0,0,15585.298
# read total= 17704472
#[INFO ] Results#:  100
query4.2,200,GZIP,0,0,0,15706.612
# read total= 17704472
#[INFO ] Results#:  800
query4.3,200,GZIP,0,0,0,14519.762
# read total= 17704472
#[INFO ] Result  :  84148405063199
query1.1,200,UNCOMPRESSED,0,0,0,9104.874
# read total= 17163199
#[INFO ] Result  :  18167977739771
query1.2,200,UNCOMPRESSED,0,0,0,9220.932
# read total= 17163199
#[INFO ] Result  :  4936900771232
query1.3,200,UNCOMPRESSED,0,0,0,9290.596
# read total= 17163199
#[INFO ] Results#:  280
query2.1,200,UNCOMPRESSED,0,0,0,10476.622
# read total= 17819199
#[INFO ] Results#:  56
query2.2,200,UNCOMPRESSED,0,0,0,9827.026
# read total= 17819200
#[INFO ] Results#:  7
query2.3,200,UNCOMPRESSED,0,0,0,9929.937
# read total= 17819200
#[INFO ] Results#:  150
query3.1,200,UNCOMPRESSED,0,0,0,12157.499
# read total= 17819200
#[INFO ] Results#:  600
query3.2,200,UNCOMPRESSED,0,0,0,11242.593
# read total= 17819200
#[INFO ] Results#:  24
query3.3,200,UNCOMPRESSED,0,0,0,10788.303
# read total= 17819200
#[INFO ] Results#:  4
query3.4,200,UNCOMPRESSED,0,0,0,11081.628
# read total= 17819200
#[INFO ] Results#:  35
query4.1,200,UNCOMPRESSED,0,0,0,13638.396
# read total= 18147184
#[INFO ] Results#:  100
query4.2,200,UNCOMPRESSED,0,0,0,13789.057
# read total= 18147184
#[INFO ] Results#:  800
query4.3,200,UNCOMPRESSED,0,0,0,12389.515
# read total= 18147184
#[INFO ] Result  :  84148405063199
query1.1,200,SNAPPY,0,0,0,9495.740
# read total= 16904382
#[INFO ] Result  :  18167977739771
query1.2,200,SNAPPY,0,0,0,10133.124
# read total= 16904382
#[INFO ] Result  :  4936900771232
query1.3,200,SNAPPY,0,0,0,9636.751
# read total= 16904382
#[INFO ] Results#:  280
query2.1,200,SNAPPY,0,0,0,10542.311
# read total= 17560382
#[INFO ] Results#:  56
query2.2,200,SNAPPY,0,0,0,10671.655
# read total= 17560382
#[INFO ] Results#:  7
query2.3,200,SNAPPY,0,0,0,10160.283
# read total= 17560382
#[INFO ] Results#:  150
query3.1,200,SNAPPY,0,0,0,11902.845
# read total= 17560382
#[INFO ] Results#:  600
query3.2,200,SNAPPY,0,0,0,11048.398
# read total= 17560382
#[INFO ] Results#:  24
query3.3,200,SNAPPY,0,0,0,10971.229
# read total= 17560382
#[INFO ] Results#:  4
query3.4,200,SNAPPY,0,0,0,10625.679
# read total= 17560382
#[INFO ] Results#:  35
query4.1,200,SNAPPY,0,0,0,13284.664
# read total= 17888366
#[INFO ] Results#:  100
query4.2,200,SNAPPY,0,0,0,12903.913
# read total= 17888366
#[INFO ] Results#:  800
query4.3,200,SNAPPY,0,0,0,11936.437
# read total= 17888366
#[INFO ] Result  :  84148405063199
query1.1,200,ZSTD,0,0,0,8181.596
# read total= 16681328
#[INFO ] Result  :  18167977739771
query1.2,200,ZSTD,0,0,0,8821.213
# read total= 16681328
